No.;Sentimen;Tweet
529;Positif;b'IKN Nusantara membuat Indonesia makin maju \n\nDKI Jakarta \n#KotaDuniaUntukSemua #IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/rHAGE1h14C'
530;Positif;b'@Merdekasatu1 @maryshelparaiso Pakar Jawa Timur juga dukung pengembangan IKN #JokowiBapakInfrastruktur\xe2\x80\xa6 https://t.co/i0B3sUTXZl'
531;Positif;b'Pembangunan IKN Nusantara akan dilakukan secara bertahap \n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/0L0L07LXrv'
532;Positif;b'Future smart forest city akan membuat IKN menjadi kota tersohor \n\nDKI Jakarta \n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/OObxPXKprz'
533;Positif;b'Berikut manfaat besar pembangunan IKN Nusantara untuk perekonomian Indonesia\nGorontalo\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/tsDiC1AJit'
534;Positif;b'pembangunan IKN melibatkan warga lokal #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/0nw1OLpbe8'
535;Positif;b'@FGelael @berita_mineral @maryshelparaiso Masyarakat Jawa Timur bangga dan terus dukung Pembangunan IKN\xe2\x80\xa6 https://t.co/zriLw6fexF'
536;Positif;b'IKN Nusantara menjadi pusat peradaban maju \n\nDKI Jakarta \n#KotaDuniaUntukSemua #IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/1e6nSqfXVO'
537;Positif;b'Memajukan Indonesia dengan IKN Nusantara \n\nDKI Jakarta \n#KotaDuniaUntukSemua #IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/PETRcNOG5c'
538;Positif;b'Inilah manfaat pembangunan IKN Nusantara\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/ntowfOtA3N'
539;Positif;b'IKN Nusantara akan jadi kota terpandang \n\nDKI Jakarta \n#KotaDuniaUntukSemua #IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/QrO2b2CF9S'
540;Positif;b'RT @BergetarNusa: @FGelael @Merdekasatu1 @maryshelparaiso IKN Berdampak Positifterhadap pemerataan pembangunan dan ekonomi Jawa Timur #Kot\xe2\x80\xa6'
541;Positif;b'@FGelael @Merdekasatu1 @maryshelparaiso Pemindahan IKN Untuk Pemerataan Pembangunan, Jawa Timur Dukung IKN Nusantar\xe2\x80\xa6 https://t.co/t3PbeuzdZP'
542;Positif;b'IKN Nusantara akan berkonsep Ramah lingkungan\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/7uJOsPUqs8'
543;Positif;b'IKN akan membawa dampak Positif#KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/GW8j9tAwuo'
544;Positif;b'IKN Berkonsep ramah lingkungan\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/AaxCiScyis'
545;Positif;b'Tiga manfaat besar IKN untuk perekonomian Indonesia\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/uWFIwqDHkx'
546;Positif;b'IKN dengan konsep future smart forest city\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/2PVKhMKNYJ'
547;Positif;b'Kereen\nIKN akan jadi representasi bangsa\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/TCXsVEiQwY'
548;Positif;b'Pembangunan IKN berkonsep Green City\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/hX2o4qBlcb'
549;Positif;b'Pemerintah targetkan IKN dihuni 200 ribu orang\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/CP5i9uK6du'
550;Positif;b'Targetnya tahun 2024 IKN telah dihuni oleh 200.000 orang\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/Wdix53Ktyi'
551;Positif;b'IKN Nusantara Kota Dunia untuk semua\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/BKPpJ7753T'
552;Negatif;b'@zarazettirazr Sales IKN kalik uni...\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'
553;Positif;b'kami mendukung pembangunan IKN #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/RgDE7Hacau'
554;Positif;b'RT @KathyJo49714916: @berita_mineral @FGelael @maryshelparaiso Membuka lapangan kerja baru masyarakat Jawa Timur mendukung IKN Nusantara #K\xe2\x80\xa6'
555;Positif;b'IKN Berkonsep Hijau dan Ramah Lingkungan \n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/ETmkKatr85'
556;Negatif;b'RT @Usuludin321: Bener juga yah kenapa sih maksain bangun IKN ada apa sebenarnya? https://t.co/KkwkbVkihA'
557;Negatif;b'RT @Tan_Mar3M: Penduduk sepi. Makin ragu aja investor nanam modal \xf0\x9f\xa4\xa3 https://t.co/OvHL1zxumw'
558;Negatif;b'RT @Usuludin321: Bener juga yah kenapa sih maksain bangun IKN ada apa sebenarnya? https://t.co/KkwkbVkihA'
559;Positif;b'@FGelael @maryshelparaiso IKN tingkatkan dalam segala bidang mantap #JokowiBapakInfrastruktur #KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/zNgUv8Ul0C'
560;Positif;b'RT @maryshelparaiso: IKN Berkonsep ramah lingkungan, pasti disana nanti udaranya sangat segar dan sehat. kalau di Jawa Timur seperti kota a\xe2\x80\xa6'
561;Positif;b'RT @maryshelparaiso: Masyarakat Jawa Timur mendukung pembangunan IKN Nusantara karena membawa manfaat besar untuk perekonomian Indonesia #K\xe2\x80\xa6'
562;Positif;b'Manfaat Besar Pembangunan IKN\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/zOX5SLXyGm'
563;Positif;b'RT @maryshelparaiso: Karena membawa banyak manfaat Positif, masyarakat Jawa Timur siap dukung dan Kawal Pemindahan IKN #KotaDuniaUntukSemua\xe2\x80\xa6'
564;Positif;b'RT @KathyJo49714916: @BergetarNusa @OiCoffe @maryshelparaiso Kami mahasiswa Jawa Timur sangat dukung pembangunan IKN karena manfaat nya #Ko\xe2\x80\xa6'
565;Positif;b'IKN Bentuk Pemerintah Serius Dalam Mengembangkan Indonesia \n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/01Yu4D9EbB'
566;Positif;b'RT @BergetarNusa: @maryshelparaiso IKN bawa dampak Jawa Timur yang LEBIH BAIK #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataan\xe2\x80\xa6'
567;Positif;b'@KathyJo49714916 @BergetarNusa @maryshelparaiso Masyarakat Jawa Timur juga optimis dukung pembangunan IKN\xe2\x80\xa6 https://t.co/eo2tSzoYrR'
568;Positif;b'RT @papa_loren: Pemerintah Targetkan IKN Dihuni 200 Ribu Orang pada 2024.\n\nDr 200rb itu temen, sodara, tante, ponakan, adek, mertus JETLI a\xe2\x80\xa6'
569;Positif;b'@OiCoffe @maryshelparaiso IKN berpotensi bikin Indonesia jadi pusat teknologi? Mantap ga tuh. Yuk dukung pembanguna\xe2\x80\xa6 https://t.co/hqgztK2h06'
570;Positif;b'Pembangunan IKN Untuk Pengembangan Perekonomian Indonesia\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/j2HwA0Ltyu'
571;Negatif;b'RT @BhaktiRah: @_MbakSri_ Apapun masalah nya tuntutannya Jokowi mundur, tahu knp?....agar IKN batal , sebab kalo IKN benar\xc2\xb2 terealisasi , k\xe2\x80\xa6'
572;Positif;b'IKN Sangat Bermanfaat \n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/lS11h2iX5m'
573;Positif;b'RT @KathyJo49714916: @berita_mineral @OiCoffe @maryshelparaiso Saya asli Jawa Timur juga selalu mendukung pembangunan IKN pak #KotaDuniaUnt\xe2\x80\xa6'
574;Positif;b'@OiCoffe @maryshelparaiso Kami sebagai warga Jawa Timur juga turut mendukung penuh pembangunan IKN.\xe2\x80\xa6 https://t.co/JhHdoj5flO'
575;Negatif;b'Hey! IKN dibangun dari pajak rokok dongs #RESPECT #LEGEND https://t.co/p58XxkY6zA'
576;Positif;b'Ayo dukung Jokowi luncurkan Jagat Nusantara, Metaverse di IKN\n\nGorontalo\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/dCqWJg8pVv'
577;Positif;b'IKN berkonsep ramah lingkungan dengan banyaknya riang terbuka hijau\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/vtWLrzIuNv'
578;Positif;b'RT @BhaktiRah: @_MbakSri_ Apapun masalah nya tuntutannya Jokowi mundur, tahu knp?....agar IKN batal , sebab kalo IKN benar\xc2\xb2 terealisasi , k\xe2\x80\xa6'
579;Positif;b'RT @StephanChain2: IKN Nusantara Untuk kesejahteraan masyarakat \n #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKN\xe2\x80\xa6'
580;Positif;b'RT @BergetarNusa: @berita_mineral @OiCoffe @maryshelparaiso Arek Jawa Timur antusias sambut IKN Nusantara #KotaDuniaUntukSemua #IKNSejahter\xe2\x80\xa6'
581;Positif;b'RT @Opposih6890bio: @BergetarNusa @maryshelparaiso Arek Jawa Timur sama2 dukung pembangunan IKN Nusantara #KotaDuniaUntukSemua #IKNSejahter\xe2\x80\xa6'
582;Positif;b'RT @StephanChain2: Indonesia hebat \n #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #Duku\xe2\x80\xa6'
583;Positif;b'RT @StephanChain2: Dukung pembangunan IKN Nusantara \n #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKe\xe2\x80\xa6'
584;Positif;b'RT @StephanChain2: Ikn Majukan Indonesia \n #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan\xe2\x80\xa6'
585;Positif;b'IKN Akan Sangat Luar Biasa Dimata Masyarakat Indonesia Maupun Luar Negeri\n\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/dkhuB3iWib'
586;Positif;b'RT @StephanChain2: IKN Nusantara Untuk kesejahteraan rakyat \n #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNting\xe2\x80\xa6'
587;Positif;b'IKN dibangun secara bertahap dengan perencanaan yang matang\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/KH3LZsyvMP'
588;Positif;b'@berita_mineral @OiCoffe @maryshelparaiso Kami sebagai warga Jawa Timur juga turut mendukung penuh pembangunan IKN.\xe2\x80\xa6 https://t.co/RfHckZ8Vy8'
589;Positif;b'Tiga Manfaat Besar IKN Untuk Perekonomian Indonesia \n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/rx56OGscOA'
590;Positif;b'RT @StephanChain2: IKN Nusantara Untuk Indonesia Maju \n #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkan\xe2\x80\xa6'
591;Positif;b'RT @StephanChain2: Dukung pembangunan IKN Nusantara \n #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKe\xe2\x80\xa6'
592;Positif;b'@BergetarNusa @maryshelparaiso Masyarakat Jawa Timur bangga dan terus dukung Pembangunan IKN\xe2\x80\xa6 https://t.co/IdWJDcDpNY'
593;Positif;b'IKN berdampak besar untuk perekonomian Indonesia\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/oUCWV2D23D'
594;Positif;b'IKN Berkonsep Ramah Lingkungan \n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/Nn6toS9uGg'
595;Negatif;b'@AlshaibaShihab apa fungsi dari ibukota baru? mending duitnya buat mensejahterakan rakyat daripada bangunn ikn,.kar\xe2\x80\xa6 https://t.co/jlgquqvo8Q'
596;Positif;b'Info - Pembangunan IKN akan berkonsep Green City!\n\nAceh Hadir Mendukung \xe2\x9d\xa4\xef\xb8\x8f\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/y8sDyReT6J'
597;Positif;b'Info - IKN akan jadi representasi Indonesia yang unggul!\n\nAceh Hadir Mendukung \xe2\x9d\xa4\xef\xb8\x8f\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/cMYCG5D0wO'
598;Negatif;b'@_MbakSri_ Apapun masalah nya tuntutannya Jokowi mundur, tahu knp?....agar IKN batal , sebab kalo IKN benar\xc2\xb2 tereal\xe2\x80\xa6 https://t.co/RDFaqPcwc1'
599;Positif;b'Info - Jagat Nusantara! Metaverse di IKN!\n\nAceh Hadir Mendukung \xe2\x9d\xa4\xef\xb8\x8f\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/584WkHZ0LG'
600;Positif;b'@kopimalam999 IKN Untuk INDONESIA\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/GCnsjqilyZ'
601;Negatif;b'RT @OposisiCerdas: Anggaran Pembangunan Infrastruktur Dasar IKN Membengkak Jadi Rp 58 Triliun\nhttps://t.co/jfYxmjtgbe'
602;Positif;b'IKN Nusantara adalah komitmen pembangunan berkelanjutan\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/J42u6h3uuX'
603;Positif;b'RT @berita_mineral: @OiCoffe @maryshelparaiso IKN direncanakan dengan baik Masyarakat Jawa Timur Dukung IKN #JokowiBapakInfrastruktur #Kota\xe2\x80\xa6'
604;Positif;b'Info - IKN diputuskan menjadi ketetapan MPR RI\n\nAceh Hadir Mendukung \xe2\x9d\xa4\xef\xb8\x8f\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/cuIVHZtFEV'
605;Positif;"b""Waw Wapres Temui Bos Dubai Holding, Ma'ruf Amin Ajak Kerja Sama Industri Halal hingga IKN Nusantara\xe2\x80\xa6 https://t.co/Oz0h2TNuQI"""
606;Positif;b'Waw Pembangunan IKN Diklaim sebagai Upaya Pemerintah Percepat Transformasi Ekonomi https://t.co/zudBPzn5VT\xe2\x80\xa6 https://t.co/SQo88zQf7E'
607;Positif;b'Waw Alasan Golkar dan Airlangga Hartarto Dukung IKN Nusantara di Kalimantan Timur https://t.co/e0DwNylRcU\xe2\x80\xa6 https://t.co/01mhXc6XoO'
608;Positif;b'Waw Duta Pemuda Sadar Hukum Perlu Ilmu Budaya Kaltim dalam Songsong IKN Nusantara https://t.co/z8J4x0n3zZ\xe2\x80\xa6 https://t.co/MNGcc7TGo9'
609;Positif;b'@AndikaCaniago1 Pemerintah targetkan IKN\nDihuni 200 ribu orang\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/Q14uC7u6ia'
610;Positif;b'Waw Sukses di Balikpapan, Raksasa Properti Ini Lirik Peluang Investasi IKN Nusantara https://t.co/TxSBp5kh9j\xe2\x80\xa6 https://t.co/lsa8DDl8AD'
611;Positif;b'Waw ITB Jalin 5 Kesepakatan dengan Badan Otorita IKN Nusantara, Digitalisasi Pembangunan https://t.co/oolpGdrJCV\xe2\x80\xa6 https://t.co/J5SCbvkFrb'
612;Positif;b'Waw 4 Komposisi Penduduk IKN Nusantara, Jumlahnya Capai 200 Ribu Orang di 2024 https://t.co/ztJkqzAH0T #Samarinda\xe2\x80\xa6 https://t.co/ugW5rB7UOv'
613;Positif;b'@OiCoffe @berita_mineral @maryshelparaiso Masyarakat Jawa Timur dengan penuh semangat Men Dukung kelancaran pembang\xe2\x80\xa6 https://t.co/ZNVONp5qyf'
614;Positif;b'IKN Nusantara, kota dengan peradaban maju\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/q2eItjsf4t'
615;Positif;b'Tancap gas pembangunan IKN Nusantara\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/duwXqRucLG'
616;Negatif;b'RT @Kimi58486332: IKN lebih penting dari entaskan Kemiskinan mas Joko @jokowi  ? Menggenaskan masse https://t.co/X6quciisrJ'
617;Positif;b'RT @FGelael: @maryshelparaiso dibangunnya IKN Nusantara di dukung semua elemen masyarakat di Jawa Timur, IKN akan membawa Indonesia semakin\xe2\x80\xa6'
618;Positif;b'@AndiniLayla Pemerintah targetkan IKN\nDihuni 200 ribu orang yang siap memajukan Ekonomi \n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/lhrtxpnJD8'
619;Positif;b'RT @OiCoffe: @BergetarNusa @maryshelparaiso Mahasiswa Jawa Timur dukung pembangunan IKN #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKN\xe2\x80\xa6'
620;Positif;b'News - Pembangunan IKN akan berkonsep Green City!\n\nAceh Hadir Mendukung \xe2\x9d\xa4\xef\xb8\x8f\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/GK8mRbCPLC'
621;Positif;b'@BergetarNusa @maryshelparaiso IKN tingkatkan dalam segala bidang mantap #JokowiBapakInfrastruktur\xe2\x80\xa6 https://t.co/JPfXYhjV5h'
622;Positif;b'@FGelael @maryshelparaiso IKN smart city siap bersaing, Jawa Timur dukung terus #JokowiBapakInfrastruktur\xe2\x80\xa6 https://t.co/t6nrPd3c1K'
623;Positif;b'Dukung IKN yang berkonsep ramah lingkungan.\n\nGorontalo\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/BQrLuR0Oey'
624;Positif;b'@GinaOktorina Pemerintah targetkan IKN\nDihuni 200 ribu orang yang siap memajukan ekonomi nasional\xe2\x80\xa6 https://t.co/CsB1PbSNRu'
625;Positif;b'News - IKN akan jadi representasi Indonesia yang unggul!\n\nAceh Hadir Mendukung \xe2\x9d\xa4\xef\xb8\x8f\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/dQjJ2C76Mz'
626;Positif;b'RT @OiCoffe: @FGelael @maryshelparaiso Pembangunan IKN berdampak Positifpada pembangunan dan ekonomi. Arek Jawa Timur dukung pembangunan I\xe2\x80\xa6'
627;Negatif;b'@z4r4n Indonesia apa kelompok Jakarta.... Heran... Di kotaku ini pada bingung... Apa dari kita yang mau diselamatka\xe2\x80\xa6 https://t.co/EGo4tOJHHL'
628;Positif;b'IKN Berkonsep Ramah Lingkungan .\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/TBeYV52Xb4'
629;Positif;b'News - Jagat Nusantara! Metaverse di IKN!\n\nAceh Hadir Mendukung \xe2\x9d\xa4\xef\xb8\x8f\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/EM69rlREL7'
630;Positif;b'@OiCoffe @FGelael @maryshelparaiso Pemindahan IKN Untuk Pemerataan Pembangunan, Jawa Timur Dukung IKN Nusantara\xe2\x80\xa6 https://t.co/p5lfPd5Xgk'
631;Positif;b'Pembangunan IKN Nusantara Berkonsepkan Green City .\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/1iU8xsHbWn'
632;Positif;b'@king_paratha Gorontalo dukung pembangunan IKN\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/iDDp0VhEWc'
633;Positif;b'News - IKN diputuskan menjadi ketetapan MPR RI\n\nAceh Hadir Mendukung \xe2\x9d\xa4\xef\xb8\x8f\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/SQqvi1VJkT'
634;Positif;b'IKN tak ada lawan, semoga segera terwujud\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/S0vTCxEala'
635;Positif;b'IKN Berkonsep Ramah Lingkungan\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/iZ1lO5XxFS'
636;Positif;b'RT @NandaShanum: @OiCoffe @KathyJo49714916 @maryshelparaiso IKN Memberikan Dampak PositifBagi Kesejahteraan Masyarakat Jawa Timur. #Jokowi\xe2\x80\xa6'
637;Positif;b'IKN Nusantara harus di dukung seluruh masyarakat Indonesia\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/ScGE2UVEBV'
638;Positif;b'Pemerintah targetkan IKN\nDihuni 200 ribu orang\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/0pvd6REs10'
639;Positif;b'@OiCoffe @KathyJo49714916 @maryshelparaiso IKN Memberikan Dampak PositifBagi Kesejahteraan Masyarakat Jawa Timur.\xe2\x80\xa6 https://t.co/lOZdGIGihI'
640;Positif;b'Konsep yang menarik nih IKN kita yang membanggakan\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/ZEjdl9WD6q'
641;Positif;b'IKN Nusantara Kota terbaik didunia Aminin dulu\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/W7v8yWV43R'
642;Positif;b'https://t.co/euhH1TPdjM, Sepaku \xe2\x80\x93 Dalam rangka pengamanan pembangunan, Wakapolda Kaltim, meninjau pembangunan wilay\xe2\x80\xa6 https://t.co/Ro1GCmLLym'
643;Positif;b'Dukung Pembangunan IKN\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/6E8xhrdmNE'
644;Positif;b'RT @berita_mineral: @maryshelparaiso Jawa Timur optimis IKN bangkitkan ekonomi Indonesia maju #JokowiBapakInfrastruktur #KotaDuniaUntukSemu\xe2\x80\xa6'
645;Positif;b'Dukung Pembangunan IKN\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/N66SSCs8jq'
646;Negatif;"b'RT @t0n1h3r5_83: INGATLAH PARPOL2 YG MENYETUJUI &amp; MENGESYAHKAN IKN . \n\nJANGAN PILIH &amp; TENGGELAMKAN \xe2\x80\xbc\xef\xb8\x8f \n\n#Semangat411TurunkanJokowi \n#Semang\xe2\x80\xa6'"
647;Positif;b'Dukung Pembangunan IKN\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/Mzc0y4lyoq'
648;Positif;b'@berita_mineral @maryshelparaiso Bukan hanya wilayah IKN akan mengalami kemajuan pesat tapi juga Jawa Timur dan wil\xe2\x80\xa6 https://t.co/t1RmRaUC6X'
649;Positif;b'Ini dia manfaat besar IKN untuk perekonomian\n.\nIKN Majukan bangsa, Jambi\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/TWMoSaqWT9'
650;Positif;b'IKN berkonsep Forest City. Dukung Pembangunan IKN\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/jyWHuVaOgp'
651;Positif;b'IKN Nusantara dibangun dengan konsep smart city, kerenn\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/H87SODTtMh'
652;Positif;b'Jagat Nusantara di IKN. Dukung Pembangunan IKN\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/zCPQ5NV5fB'
653;Positif;b'@hornetrimula01 Gorontalo siap mendukung pemindahan IKN. \n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/Z2eqBxbzcp'
654;Negatif;b'RT @NetizenBerisik2: Sadarlah rakyat Indonesia,tdk ada waktu lagi tuk berdiam diri.Harus bersatu tolak Omnibuslaw, UU Hip, Uu Ikn,Uu apa pu\xe2\x80\xa6'
655;Positif;b'IKN penuh sensasi alam dan teknologi. Dukung Pembangunan IKN\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/a8JMezzj4v'
656;Positif;b'Keren konsep future smart forest city\n.\nIKN Majukan bangsa, Jambi\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/UE1HDcAN0a'
657;Negatif;b'Daya tampung TPA Manggar hanya sampai 2026 https://t.co/K14jYufxJ1'
658;Positif;b'Gorontalo siap mendukung pemindahan IKN. \n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/GPaXqoyu8a'
659;Positif;b'RT @KathyJo49714916: @maryshelparaiso IKN smart city siap bersaing, Jawa Timur dukung terus #KotaDuniaUntukSemua #IKNSejahterakanIndonesia\xe2\x80\xa6'
660;Positif;b'IKN Nusantara ramah lingkungan. Dukung Pembangunan IKN\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/NmJGmrlNei'
661;Positif;b'@fanyastria561 Bagus sekali IKN\nAceh\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/nvIue2Bzp7'
662;Positif;b'RT @AlshaibaShihab: Indonesia ditangan Presiden Jokowi :\n\n65 bendungan \n36 ruas jalan tol\n15 bandara baru\nSirkuit Mandalika\nKereta api cepa\xe2\x80\xa6'
663;Positif;b'IKN beri dampak Positifbagi Indonesia. Dukung Pembangunan IKN\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/OlvQRDxmV9'
664;Positif;b'@maryshelparaiso Masyarakat Jawa Timur dukung pembangunan IKN Nusantara #JokowiBapakInfrastruktur\xe2\x80\xa6 https://t.co/gPHcuoCdVt'
665;Positif;b'Tiga manfaat besar IKN\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\xe2\x80\xa6 https://t.co/BZiq9K8LNa'
666;Positif;b'IKN Nusantara Cita-cita bangsa Indonesia, semoga segera terwujud\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/0fdkNkTlTp'
